station id, station name, valid,povp. tlak [hPa],količina padavin [mm],hitrost vetra [m/s]
_1828,LJUBLJANA - BEŽIGRAD,03/08/2022 22:50,983,,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,03/08/2022 23:00,983,0,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,03/08/2022 23:10,983,,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,03/08/2022 23:20,983,,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,03/08/2022 23:30,983,0,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,03/08/2022 23:40,983,,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,03/08/2022 23:50,983,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,04/08/2022 00:00,984,0,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,04/08/2022 00:10,984,,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,04/08/2022 00:20,984,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,04/08/2022 00:30,984,0,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,04/08/2022 00:40,984,,0.8
,,,,,
